"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1014216_1"	"Bologna"	"Bologna"	2020-03-12	1	TRUE	"25.8"	"2020"	72	407	"spring"	"DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34"
"1014218_1"	"Bologna"	"Bologna"	2020-03-24	1	TRUE	"19.8"	"2020"	84	419	"spring"	"DTU_2022_1014218_1_MG_IT_BO_200324_GSL_59"
"1014220_1"	"Bologna"	"Bologna"	2020-04-07	1	TRUE	"31.7"	"2020"	98	433	"spring"	"DTU_2022_1014220_1_MG_IT_BO_200407_GSL_60"
"1014222_1"	"Bologna"	"Bologna"	2020-04-21	1	TRUE	"24.9"	"2020"	112	447	"spring"	"DTU_2022_1014222_1_MG_IT_BO_200421_GSL_105"
"1014224_1"	"Bologna"	"Bologna"	2020-05-05	1	TRUE	"46.1"	"2020"	126	461	"spring"	"DTU_2022_1014224_1_MG_IT_BO_200505_GSL_74"
"1014226_1"	"Bologna"	"Bologna"	2020-05-18	1	TRUE	"36.3"	"2020"	139	474	"spring"	"DTU_2022_1014226_1_MG_IT_BO_200518_GSL_36"
"1014228_1"	"Bologna"	"Bologna"	2020-06-01	1	TRUE	"17.4"	"2020"	153	488	"summer"	"DTU_2022_1014228_1_MG_IT_BO_200601_GSL_64"
"1014231_1"	"Bologna"	"Bologna"	2020-06-23	1	TRUE	"29.3"	"2020"	175	510	"summer"	"DTU_2022_1014231_1_MG_IT_BO_200623_GSL_139"
"1015033_1"	"Bologna"	"Bologna"	2020-07-09	1	TRUE	"16.5"	"2020"	191	526	"summer"	"DTU_2022_1015033_1_MG_IT_BO_200709_GSL_142"
"1015035_1"	"Bologna"	"Bologna"	2020-07-23	1	TRUE	"28.6"	"2020"	205	540	"summer"	"DTU_2022_1015035_1_MG_IT_BO_200723_GSL_192"
"1015037_1"	"Bologna"	"Bologna"	2020-08-06	1	TRUE	"27"	"2020"	219	554	"summer"	"DTU_2022_1015037_1_MG_IT_BO_200806_GSL_189"
"1015039_1"	"Bologna"	"Bologna"	2020-08-25	1	TRUE	"24.2"	"2020"	238	573	"summer"	"DTU_2022_1015039_1_MG_IT_BO_200825_GSL_209"
"1015041_1"	"Bologna"	"Bologna"	2020-09-08	1	TRUE	"14.2"	"2020"	252	587	"autumm"	"DTU_2022_1015041_1_MG_IT_BO_200908_GSL_211"
"1015043_1"	"Bologna"	"Bologna"	2020-09-22	1	TRUE	"35.9"	"2020"	266	601	"autumm"	"DTU_2022_1015043_1_MG_IT_BO_200922_GSL_291"
"1015045_1"	"Bologna"	"Bologna"	2020-10-08	1	TRUE	"17.9"	"2020"	282	617	"autumm"	"DTU_2022_1015045_1_MG_IT_BO_201008_GSL_409"
"1015047_1"	"Bologna"	"Bologna"	2020-10-20	1	TRUE	"52"	"2020"	294	629	"autumm"	"DTU_2022_1015047_1_MG_IT_BO_201020_GSL_294"
"1015050_1"	"Bologna"	"Bologna"	2020-11-10	1	TRUE	"49.4"	"2020"	315	650	"autumm"	"DTU_2022_1015050_1_MG_IT_BO_201110_GSL_299"
"1015052_1"	"Bologna"	"Bologna"	2020-11-26	1	TRUE	"23.7"	"2020"	331	666	"autumm"	"DTU_2022_1015052_1_MG_IT_BO_201126_GSL_414"
"1015054_1"	"Bologna"	"Bologna"	2020-12-10	1	TRUE	"27"	"2020"	345	680	"winter"	"DTU_2022_1015054_1_MG_IT_BO_201210_GSL_417"
"1015056_1"	"Bologna"	"Bologna"	2020-12-22	1	TRUE	"27.6"	"2020"	357	692	"winter"	"DTU_2022_1015056_1_MG_IT_BO_201222_GSL_420"
"1015058_1"	"Bologna"	"Bologna"	2021-01-05	1	TRUE	"32"	"2021"	5	706	"winter"	"DTU_2022_1015058_1_MG_IT_BO_210105_GSL_423"
"1015060_1"	"Bologna"	"Bologna"	2021-01-19	1	TRUE	"79.1"	"2021"	19	720	"winter"	"DTU_2022_1015060_1_MG_IT_BO_210119_GSL_725"
"1015062_1"	"Bologna"	"Bologna"	2021-02-02	1	TRUE	"18.4"	"2021"	33	734	"winter"	"DTU_2022_1015062_1_MG_IT_BO_210202_GSL_764"
"1015064_1"	"Bologna"	"Bologna"	2021-02-23	1	TRUE	"12.3"	"2021"	54	755	"winter"	"DTU_2022_1015064_1_MG_IT_BO_210223_GSL_793"
"1015066_1"	"Bologna"	"Bologna"	2021-03-09	1	TRUE	"18.4"	"2021"	68	769	"spring"	"DTU_2022_1015066_1_MG_IT_BO_210309_GSL_795"
"1015068_1"	"Bologna"	"Bologna"	2021-03-23	1	TRUE	"21.7"	"2021"	82	783	"spring"	"DTU_2022_1015068_1_MG_IT_BO_210323_GSL_856"
"1015070_1"	"Bologna"	"Bologna"	2021-04-13	1	TRUE	"22.2"	"2021"	103	804	"spring"	"DTU_2022_1015070_1_MG_IT_BO_210413_GSL_857"
"1015072_1"	"Bologna"	"Bologna"	2021-04-27	1	TRUE	"46.3"	"2021"	117	818	"spring"	"DTU_2022_1015072_1_MG_IT_BO_210427_GSL_860"
"1014082_1"	"Budapest"	"Budapest"	2020-05-18	1	TRUE	"26.1"	"2020"	139	474	"spring"	"DTU_2022_1014082_1_MG_HU_BU_3_200518_GSL_42"
"1014083_1"	"Budapest"	"Budapest"	2020-05-25	1	TRUE	"10.4"	"2020"	146	481	"spring"	"DTU_2022_1014083_1_MG_HU_BU_3_200525_GSL_67"
"1014087_1"	"Budapest"	"Budapest"	2020-06-01	1	TRUE	"43.4"	"2020"	153	488	"summer"	"DTU_2022_1014087_1_MG_HU_BU_3_200601_GSL_166"
"1014086_1"	"Budapest"	"Budapest"	2020-06-29	1	TRUE	"33.7"	"2020"	181	516	"summer"	"DTU_2022_1014086_1_MG_HU_BU_3_200629_GSL_160"
"1014089_1"	"Budapest"	"Budapest"	2020-07-06	1	TRUE	"21.1"	"2020"	188	523	"summer"	"DTU_2022_1014089_1_MG_HU_BU_3_200706_GSL_168"
