"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1007150_1_RA_CPH.bin.34"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter sp009707625"
"1007150_1_RA_CPH.bin.36"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Pseudomonas_E fluvialis"
"1007150_1_RA_CPH.bin.84"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ottowia"	"Ottowia beijingensis"
"1007153_1_RA_CPH.bin.1"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Cloacibacterium"	"Cloacibacterium caeni_A"
"1007153_1_RA_CPH.bin.63"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Pseudomonas_E iridis"
"1007154_2_RD_CPH.bin.20"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Unclassified_Psychrobacter"
"1007157_1_RD_CPH.bin.7"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Unclassified_Giesbergeria"
"1007158_1_RL_CPH.bin.84"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Janthinobacterium"	"Janthinobacterium sp002797895"
"1007160_1_RD_CPH.bin.16"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter harbinensis"
"1007160_1_RD_CPH.bin.27"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Shewanellaceae"	"Shewanella"	"Unclassified_Shewanella"
"1007160_1_RD_CPH.bin.32"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Agathobacter"	"Agathobacter rectalis"
"1007160_1_RD_CPH.bin.61"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Carnobacterium_A"	"Carnobacterium_A jeotgali"
"1007160_1_RD_CPH.bin.62"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Pseudomonas_E fluorescens_BJ"
"1007160_1_RD_CPH.bin.63"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Acutalibacteraceae"	"Ruminococcus_E"	"Ruminococcus_E sp003526955"
"1007162_1_RA_CPH.bin.104"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Fusicatenibacter"	"Fusicatenibacter saccharivorans"
"1007162_1_RA_CPH.bin.118"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Eubacteriales"	"Eubacteriaceae"	"Acetobacterium"	"Unclassified_Acetobacterium"
"1007162_1_RA_CPH.bin.121"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospira"	"Lachnospira eligens_A"
"1007162_1_RA_CPH.bin.3"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-83"	"CAG-83 sp000431575"
