sample,nan	DTU_2022_1014095_1_MG_HU_BU_3_200817_GSL_262_R1_001	DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34_S24_L001_R1_001	DTU_2022_1014137_1_MG_HU_BU_3_210404_GSL_944_R1_001	DTU_2022_1015072_1_MG_IT_BO_210427_GSL_860_S54_L001_R1_001	DTU_2022_1015052_1_MG_IT_BO_201126_GSL_414_S14_L001_R1_001	DTU_2022_1015054_1_MG_IT_BO_201210_GSL_417_S27_L001_R1_001	DTU_2022_1014124_1_MG_HU_BU_3_210215_GSL_772_R1_001	DTU_2022_1015073_1_MG_IT_RO_200317_GSL_1_S36_L001_R1_001	DTU_2022_1014099_1_MG_HU_BU_3_200915_GSL_326_R1_001	DTU_2022_1014159_1_MG_NL_RO_200902_GSL_1085_S82_L003_R1_001	DTU_2022_1014224_1_MG_IT_BO_200505_GSL_74_S38_L001_R1_001	DTU_2022_1014228_1_MG_IT_BO_200601_GSL_64_S17_L001_R1_001	DTU_2022_1015105_1_MG_IT_RO_201110_GSL_369_S49_L001_R1_001	DTU_2022_1015109_1_MG_IT_RO_201209_GSL_373_R1_001	DTU_2022_1015060_1_MG_IT_BO_210119_GSL_725_S56_L001_R1_001	DTU_2022_1014141_1_MG_NL_RO_200423_GSL_1067_S83_L003_R1_001	DTU_2022_1014129_1_MG_HU_BU_3_210315_GSL_803_S0_L001_R1_001	DTU_2022_1015062_1_MG_IT_BO_210202_GSL_764_S3_L001_R1_001	DTU_2022_1014166_1_MG_NL_RO_201023_GSL_1092_S6_L003_R1_001	DTU_2022_1015098_1_MG_IT_RO_200922_GSL_362_S13_L001_R1_001	DTU_2022_1014121_1_MG_HU_BU_3_210125_GSL_750_R1_001	DTU_2022_1015047_1_MG_IT_BO_201020_GSL_294_S32_L001_R1_001	DTU_2022_1015107_1_MG_IT_RO_201124_GSL_371_S0_L001_R1_001	DTU_2022_1014146_1_MG_NL_RO_200603_GSL_1072_S84_L003_R1_001	DTU_2022_1014139_1_MG_NL_RO_200408_GSL_1065_S19_L003_R1_001	DTU_2022_1014082_1_MG_HU_BU_3_200518_GSL_42_R1_001	DTU_2022_1014107_1_MG_HU_BU_3_201103_GSL_404_R1_001	DTU_2022_1015096_1_MG_IT_RO_200908_GSL_360_S37_L001_R1_001	DTU_2022_1015050_1_MG_IT_BO_201110_GSL_299_S55_L001_R1_001	DTU_2022_1015041_1_MG_IT_BO_200908_GSL_211_S13_L003_R1_001	DTU_2022_1014208_1_MG_NL_RO_210830_GSL_1134_R1_001	DTU_2022_1014083_1_MG_HU_BU_3_200525_GSL_67_R1_001	DTU_2022_1015089_1_MG_IT_RO_200714_GSL_353_S6_L002_R1_001	DTU_2022_1014098_1_MG_HU_BU_3_200907_GSL_274_R1_001	DTU_2022_1014125_1_MG_HU_BU_3_210222_GSL_776_R1_001	DTU_2022_1014135_1_MG_HU_BU_3_210504_GSL_911_S200_L004_R1_001	DTU_2022_1014106_1_MG_HU_BU_3_201027_GSL_346_S4_L002_R1_001	DTU_2022_1015075_1_MG_IT_RO_200331_GSL_3_S0_L001_R1_001	DTU_2022_1015035_1_MG_IT_BO_200723_GSL_192_S9_L003_R1_001	DTU_2022_1015091_1_MG_IT_RO_200731_GSL_355_S28_L001_R1_001	DTU_2022_1015083_1_MG_IT_RO_200526_GSL_89_S8_L003_R1_001	DTU_2022_1014087_1_MG_HU_BU_3_200601_GSL_166_S33_L002_R1_001	DTU_2022_1014103_1_MG_HU_BU_3_201005_GSL_338_S0_L001_R1_001	DTU_2022_1015064_1_MG_IT_BO_210223_GSL_793_S5_L001_R1_001	DTU_2022_1014231_1_MG_IT_BO_200623_GSL_139_S45_L001_R1_001	DTU_2022_1014226_1_MG_IT_BO_200518_GSL_36_S5_L003_R1_001	DTU_2022_1015078_1_MG_IT_RO_200421_GSL_84_S28_L001_R1_001	DTU_2022_1014188_1_MG_NL_RO_210407_GSL_1114_R1_001	DTU_2022_1014138_1_MG_HU_BU_3_210517_GSL_948_R1_001	DTU_2022_1014200_1_MG_NL_RO_210708_GSL_1126_S32_L002_R1_001	DTU_2022_1015103_1_MG_IT_RO_201027_GSL_367_S0_L001_R1_001	DTU_2022_1014196_1_MG_NL_RO_210609_GSL_1122_R1_001	DTU_2022_1015033_1_MG_IT_BO_200709_GSL_142_S18_L003_R1_001	DTU_2022_1015066_1_MG_IT_BO_210309_GSL_795_S6_L001_R1_001	DTU_2022_1014175_1_MG_NL_RO_201223_GSL_1101_S11_L003_R1_001	DTU_2022_1014131_1_MG_HU_BU_3_210329_GSL_818_S196_L004_R1_001	DTU_2022_1014168_1_MG_NL_RO_201104_GSL_1094_S20_L003_R1_001	DTU_2022_1015039_1_MG_IT_BO_200825_GSL_209_R1_001	DTU_2022_1015094_1_MG_IT_RO_200826_GSL_358_S31_L001_R1_001	DTU_2022_1015077_1_MG_IT_RO_200414_GSL_5_S16_L001_R1_001	DTU_2022_1014093_1_MG_HU_BU_3_200803_GSL_242_R1_001	DTU_2022_1014114_1_MG_HU_BU_3_201207_GSL_604_R1_001	DTU_2022_1014220_1_MG_IT_BO_200407_GSL_60_S10_L001_R1_001	DTU_2022_1014120_1_MG_HU_BU_3_210118_GSL_749_R1_001	DTU_2022_1014171_1_MG_NL_RO_201125_GSL_1097_S47_L001_R1_001	DTU_2022_1015037_1_MG_IT_BO_200806_GSL_189_S2_L001_R1_001	DTU_2022_1015100_1_MG_IT_RO_201006_GSL_364_S42_L001_R1_001	DTU_2022_1015081_1_MG_IT_RO_200512_GSL_87_S19_L001_R1_001	DTU_2022_1014213_1_MG_NL_RO_211020_GSL_1139_S22_L001_R1_001	DTU_2022_1015045_1_MG_IT_BO_201008_GSL_409_S14_L003_R1_001	DTU_2022_1014158_1_MG_NL_RO_200823_GSL_1084_S4_L003_R1_001	DTU_2022_1014089_1_MG_HU_BU_3_200706_GSL_168_R1_001	DTU_2022_1014222_1_MG_IT_BO_200421_GSL_105_S12_L001_R1_001	DTU_2022_1014134_1_MG_HU_BU_3_210426_GSL_907_S0_L001_R1_001	DTU_2022_1014117_1_MG_HU_BU_3_201228_GSL_715_R1_001	DTU_2022_1014091_1_MG_HU_BU_3_200721_GSL_198_R1_001	DTU_2022_1014145_1_MG_NL_RO_200521_GSL_1071_S21_L003_R1_001	DTU_2022_1014086_1_MG_HU_BU_3_200629_GSL_160_R1_001	DTU_2022_1015108_1_MG_IT_RO_201201_GSL_372_S3_L002_R1_001	DTU_2022_1015087_1_MG_IT_RO_200630_GSL_351_S22_L001_R1_001	DTU_2022_1014111_1_MG_HU_BU_3_201123_GSL_599_R1_001	DTU_2022_1015068_1_MG_IT_BO_210323_GSL_856_S29_L001_R1_001	DTU_2022_1015085_1_MG_IT_RO_200616_GSL_91_S20_L001_R1_001	DTU_2022_1015056_1_MG_IT_BO_201222_GSL_420_S0_L001_R1_001	DTU_2022_1014218_1_MG_IT_BO_200324_GSL_59_S0_L001_R1_001	DTU_2022_1015070_1_MG_IT_BO_210413_GSL_857_S0_L001_R1_001	DTU_2022_1014162_1_MG_NL_RO_200923_GSL_1088_S0_L001_R1_001	DTU_2022_1015043_1_MG_IT_BO_200922_GSL_291_S7_L002_R1_001	DTU_2022_1015058_1_MG_IT_BO_210105_GSL_423_S50_L001_R1_001	DTU_2022_1014194_1_MG_NL_RO_210526_GSL_1120_R1_001	DTU_2022_1014178_1_MG_NL_RO_210120_GSL_1104_R1_001	DTU_2022_1014210_1_MG_NL_RO_210929_GSL_1136_R1_001	DTU_2022_1014183_1_MG_NL_RO_210225_GSL_1109_R1_001	DTU_2022_1014211_1_MG_NL_RO_211007_GSL_1137_R1_001	DTU_2022_1014154_1_MG_NL_RO_200724_GSL_1080_R1_001	DTU_2022_1014164_1_MG_NL_RO_201007_GSL_1090_S39_L001_R1_001	DTU_2022_1014205_1_MG_NL_RO_210811_GSL_1131_R1_001	DTU_2022_1014209_1_MG_NL_RO_210922_GSL_1135_R1_001	DTU_2022_1014143_1_MG_NL_RO_200504_GSL_1069_S18_L001_R1_001	DTU_2022_1014184_1_MG_NL_RO_210303_GSL_1110_R1_001	DTU_2022_1014156_1_MG_NL_RO_200805_GSL_1082_S25_L001_R1_001	DTU_2022_1014198_1_MG_NL_RO_210623_GSL_1124_R1_001	DTU_2022_1014151_1_MG_NL_RO_200706_GSL_1077_S2_L003_R1_001	DTU_2022_1014172_1_MG_NL_RO_201202_GSL_1098_S22_L003_R1_001	DTU_2022_1014192_1_MG_NL_RO_210505_GSL_1118_S23_L001_R1_001	DTU_2022_1014180_1_MG_NL_RO_210203_GSL_1106_R1_001	DTU_2022_1014149_1_MG_NL_RO_200624_GSL_1075_S10_L003_R1_001	DTU_2022_1014187_1_MG_NL_RO_210324_GSL_1113_R1_001	DTU_2022_1014215_1_MG_NL_RO_211103_GSL_1141_S28_L002_R1_001	DTU_2022_1014190_1_MG_NL_RO_210422_GSL_1116_S21_L001_R1_001	DTU_2022_1014203_1_MG_NL_RO_210728_GSL_1129_R1_001	DTU_2022_1014176_1_MG_NL_RO_210106_GSL_1102_S211_L004_R1_001	DTU_2022_1015093_1_MG_IT_RO_200813_GSL_357_S8_L002_R1_001
Neisseriaceae,481	530813	1089602	990620	116159	750238	605247	1134825	21950	313027	236670	1178503	813553	198858	76499	60453	195449	63330	859111	370221	106299	868596	63522	53753	183409	222998	2496542	456442	149626	137599	768884	193245	1525131	131733	487477	661548	610712	2250195	169620	641398	161444	502104	1466733	737427	275711	321068	1588682	540267	137483	637047	196595	307428	166477	983961	288142	198086	1026018	207605	485730	74445	434406	663408	993470	326002	880999	265966	1191067	48505	76610	267427	2971572	215445	1440492	205751	231306	249931	1584153	255286	3032314	168135	77082	1362190	268690	238633	471345	724639	35922	125690	116022	30005	203875	256492	167676	280884	106765	145230	156286	148186	114471	173325	182895	72492	148871	108405	187744	326008	196944	192218	141713	123061	249135	66710	212454	20917
Comamonadaceae,864	1652023	5358586	1758043	118930	4192566	3533326	1359684	1241297	839842	4760795	6029003	3151961	4031487	2492522	331092	3628472	111800	3494411	4521890	2522789	1382837	314986	1528628	4046791	4645154	3428713	1444266	2472865	514048	4391945	2609965	3506009	3677174	637112	1956017	1055435	5133073	3938954	6295873	3191454	6399087	5932901	4143215	1029404	339950	9014623	6907530	4416460	4523495	3929971	3820348	3838092	5642746	208689	3481163	1317812	3849455	4336817	1919081	5156033	2163623	4382075	3411122	1863801	4817577	3455102	3244627	1492240	4511337	8490484	3148079	2813798	3463749	486122	1151759	3985485	3888044	4852733	3512880	5389457	2107266	357596	4828716	2578168	3951791	104137	2590897	437720	291955	3369192	3558819	2860439	6389373	2569573	2675726	2779761	2973780	2537582	3910767	4210260	2824937	3371933	3119024	3429363	5338328	3130963	3033807	3680351	2425495	5170435	1460353	3535589	85016
Pseudomonadaceae,135621	49082004	123888	173282	48045098	1870024	32778003	14020993	4082762	31618074	413352	332480	531653	35944664	10082339	46456154	340290	25841398	149905	336115	17899594	10760220	47831298	20370501	325141	317617	315254	4325920	18099584	36624624	34876393	291829	769038	21949506	42617334	1464502	29160359	400129	532088	733473	28923251	11274540	183982	826117	20194964	42817282	321874	3752738	414163	333558	1535510	11019995	335052	690497	35567265	312527	10161071	233077	6548023	21250791	5469504	6198966	753568	131808	13979968	392736	838582	8166305	12643428	452892	1179132	476920	484601	3764516	24339992	246762	3731152	345621	600693	20626044	5465993	5848562	22820281	3029591	19404332	163863	37306883	3609770	40315470	28011352	459123	340275	401419	384784	1591581	974022	367389	455086	2360026	116464	2432782	294620	382824	320890	296962	826570	385842	4316421	1346757	255995	937902	401424	210738	37388445
Caulobacteraceae,76892	95347	110863	170715	7472	87209	71540	232130	103914	30761	71019	91171	154859	42717	45058	8997	99248	13806	158013	78237	67856	131372	8376	39952	122004	95912	477845	44485	24355	13619	205237	140505	218742	48803	68762	91871	116296	277375	37020	198109	36921	130979	214041	76275	87105	36351	194573	352547	69078	124366	72987	58548	48047	217540	54827	104218	151021	60972	99006	22673	388172	83820	234898	52755	169298	85498	127889	42491	137090	185711	431823	76977	132344	123132	39426	20863	170902	64111	400981	54686	41046	160007	98590	53267	50269	104333	4154	41004	14698	7271	61637	98610	85438	83528	200952	64111	48831	69472	110039	96062	58407	102701	46446	179984	64693	103557	80724	57378	31706	75517	73030	51127	70798	9085
Moraxellaceae,468	1574894	1706646	1374251	60953	3384749	2569345	2342857	1455312	207658	874512	2465755	2402132	3565728	3485816	209683	923823	329886	2208211	1171549	2295837	992834	101744	3020786	628343	1242117	1323493	1078187	4039242	271027	920259	1271738	905002	4427414	330962	617820	541774	1811642	5270171	1497110	7554054	5751991	1342468	1293113	1814860	105410	6171091	4372587	399818	1501138	1460194	5415864	856602	2063562	797231	1143235	1364288	1082515	1477216	3352877	4019209	865854	1033230	903377	1105727	1520349	556061	1765775	3683658	1711619	5364906	647599	1027168	2323765	339405	279177	1943123	951726	3714235	4765652	4085621	958441	9411837	6821325	1251752	1620390	115541	638013	170471	433197	785026	1475378	949870	889889	3850957	901984	1476439	1256289	1988445	594918	433189	469877	1299370	884569	1185843	1115153	893764	560455	818630	806681	872143	1248732	1039721	224502
Alcaligenaceae,6	9367	19337	27218	59	14587	10349	24167	1328	7012	20517	25801	24590	1598	2295	112	21845	731	18330	12721	2049	19292	69	727	29257	26618	104612	9558	2321	190	32948	11328	57398	2036	8574	14979	15574	65298	5055	42791	1435	9474	57045	26958	7674	2624	38181	17604	19249	21012	12025	5038	13058	56040	2345	10926	30078	10842	18811	938	9347	25941	38878	18319	24214	14823	40794	9528	1464	15808	88545	22153	45556	13808	3648	8974	50656	24158	96746	2565	3235	27090	4408	6177	4540	17764	102	6757	207	110	11502	12661	17247	24314	6638	12275	4777	12013	8433	15961	11031	17836	10019	54888	8476	21057	10212	12338	7696	5825	15036	4798	10030	138
Brucellaceae,118882	5213	8183	13121	108	13130	4430	20761	885	971	2049	5425	10489	951	1722	127	2503	397	18373	2965	635	13605	62	535	2717	2675	22796	7026	853	87	7622	1218	23592	1005	1554	11659	5181	16847	5197	10271	904	5491	17386	5360	6869	797	18572	7808	3706	10521	1562	1531	1268	15693	2155	3116	13442	1830	4444	731	5967	6454	17209	6162	20190	1644	5950	520	1683	2066	46797	1602	9594	9663	2079	2257	14237	2125	20971	930	859	20275	2863	5248	3802	14611	270	1148	195	243	1243	2253	1193	3202	1169	1140	1266	999	1375	1968	1314	1098	1264	2155	1709	2093	1143	1174	968	895	1402	1350	1908	21
Enterobacteriaceae,543	433672	959910	325387	75451	530590	744180	358264	27114	255031	4869208	768538	1954054	96606	40656	72811	1951826	181179	800612	1944184	107295	176978	60081	95398	2333075	2231484	1403352	455794	97540	88396	4167365	2750993	302158	78945	338927	264883	238031	1300055	88285	1337147	172881	184364	491081	597238	892093	293039	796313	194067	1795207	311037	1614041	123768	2030677	7797551	195291	613976	360646	1400048	1359132	89382	300605	584764	391954	536837	317343	2192709	2273609	98243	136221	2632002	4169945	2782884	590396	284325	91958	58888	813428	2429184	941233	96497	97908	261868	832805	203485	336710	1325190	170885	1260491	97498	69814	1067982	656292	2428788	908125	644000	1471064	742200	2766682	1918510	789415	382668	1187661	2119073	3006586	856377	1464923	591635	2118213	734128	1066262	1445000	677660	778830	140439
Erwiniaceae,139	8162	1250	259	42	208	988	892	15	10	6082	236	3322	56	46	6	5701	1071	270	7982	17	97	6	2814	4954	7511	1741	222	82	20	4027	4814	972	39	18	42	81	2141	16	5502	220	86	10653	573	867	20	795	1018	16207	7380	3481	23	3760	29007	4795	2598	273	6044	3210	81	853	504	1659	774	135	4664	4483	11	99	3391	27511	1900	1067	1681	33	21	1127	5929	882	69	39	258	1829	74	35	2126	633	1161	45	6139	1318	3416	3007	6310	7610	430	4003	4285	1406	2364	898	1005	5037	8332	2910	6072	3222	3839	1639	2031	3999	2622	3708	22
Aeromonadaceae,84642	60505	276832	84846	2215	169779	125861	102967	44914	53031	4318236	105721	414616	30441	57719	2347	1723650	3811	67916	1313492	16827	108412	5003	40323	2080781	902177	94189	314988	48200	8309	128177	1259835	150943	31787	51997	150173	74095	337006	169041	286770	26162	94077	89196	1110298	42901	47655	297447	77908	894787	131626	1180634	68243	1509934	590403	8321	194494	75196	752484	102241	16420	77772	210584	104927	174409	88626	2048278	729480	36403	102560	2844414	638006	2310935	507559	169752	34423	85263	569061	1860835	262117	47770	102295	214669	50155	247024	69218	257715	26809	1211512	12007	60969	2671593	331863	2340116	304351	1483980	934924	685646	1770472	2519374	584828	666819	989002	1520190	1795831	505148	1596382	677898	1516997	1053096	1621769	2233357	431895	287457	1764
Bacteroidaceae,815	33740	213798	347316	938	321494	207049	87314	94547	80198	1533708	130852	401424	14560	29509	5118	1722799	2938	200085	778620	17159	99153	5694	10164	967398	1805612	149930	551095	34941	12068	195132	447633	202229	16946	111783	178946	140786	308601	287020	293000	2033	36966	140908	672649	137368	22945	856447	48378	619215	129703	1131520	21319	947237	570171	13835	727421	145793	1288558	148019	4410	61924	663230	119112	116742	142229	2716805	855638	27791	86754	2044853	542635	1881955	642292	450028	72857	133800	788763	1386011	367008	18503	44166	280242	37913	76869	100888	187780	25528	1157130	4299	88141	1323128	682187	865681	539761	423281	1930044	914866	802108	1408631	207241	700588	553526	1118236	857093	1042872	1271906	809403	1221677	1173969	1131784	1727922	265636	1270335	1427
Oscillospiraceae,216572	50992	305292	335146	20540	502624	323776	750601	51000	92284	666984	157017	673689	23469	28942	19668	540875	8286	448192	555108	10043	611019	20243	19786	396569	861527	1987070	440877	36876	20734	367063	130098	1098062	15568	117202	593423	272795	1025757	179050	317522	7504	68759	1547295	392452	298258	38546	717276	126395	979502	286528	161927	22604	275456	1245009	51165	310893	469593	689200	139031	10787	82600	245845	595529	263089	600827	852588	412830	16567	64884	344570	876969	135729	314840	257139	121304	193627	944672	397496	433101	20400	20304	581275	74001	52105	124096	349525	44165	148409	7951	43129	181740	369346	155861	542997	140966	140360	226174	130791	101562	95383	134497	91948	272114	281509	412550	415474	352161	105358	288867	174446	398415	37748	759760	1206
